Rating,Size
4.1,19
3.9,14
4.7,14
4.5,25
4.3,2.8
4.4,5.6
3.8,19
4.1,29
4.4,33
4.7,3.1
4.4,28
4.4,12
4.2,20
4.6,21
4.4,37
3.2,2.7
4.7,5.5
4.5,17
4.3,39
4.6,31
4,14
4.1,12
4.7,4.2
4.7,23
4.8,6
4.7,25
4.1,6.1
3.9,4.6
4.1,4.2
4.2,9.2
4.1,5.2
4.5,11
4.2,11
4.7,4.2
3.8,9.2
4.7,24
,
4.7,11
4,9.4
4.2,15
4.5,10
,
3.8,1.2
4.2,12
4.7,24
4.6,26
4.2,8
4.3,7.9
4.2,25
4,56
3.8,57
,
3.9,35
4.3,33
4.9,33
4.4,5.6
4.2,54
4,201
3.9,3.6
4.6,5.7
4.9,17
4.3,8.6
4.6,2.4
4.9,27
3.9,2.7
4,2.5
,
,
4.2,7
4.8,35
3.6,16
4.2,16
,
4.8,17
4.6,3.4
4.5,8.9
4.3,3.9
4.5,2.9
4.9,38
3.9,32
4.4,37
4,15
4.3,5.4
3.7,18
,
4.3,38
3.2,1.1
,
,
4.5,7.9
3.7,35
,
4.6,17
4.6,19
4,14
4.4,2.2
4,4.5
4.7,17
4.9,14
4.7,9.8
3.9,21
,
4.2,52
4.6,14
4.3,25
4.7,9
,
4.8,12
,
4.3,35
4.5,6.7
4.1,30
,
4.2,2.9
4.5,17
4.4,2.9
,
,
4.1,2.6
4.4,4.2
4.6,7.1
4.5,57
,
3.9,22
4.4,24
,
4.6,21
3.8,3.4
,
,
4,6.4
4.3,3.2
4.5,8.2
,
4.1,2.9
3.7,23
4.7,4.6
4.2,3.1
,
4.5,4.9
4.6,9.5
,
,
,
,
,
4.5,4.2
4.4,5.4
,
4.6,2.8
4.8,5
,
4.6,5.9
4.2,13
4.1,7.1
4.7,6.7
,
4.3,17
3.3,19
4.6,6.7
4.8,21
,
,
4.1,37
4.6,15
4.1,23
4.6,19
4.7,23
4.5,73
3.9,4.9
4.4,6.8
,
,
4.5,2.9
4.4,3.5
3.4,4
4.9,21
4.6,2.3
,
,
4.4,10
4.4,6.1
4.4,2.1
3.5,42
,
4.4,30
,
,
,
4.3,29
,
,
,
4.3,35
3.9,9.1
4.8,25
4.5,3.9
4.4,18
4,12
4.3,21
,
,
,
,
4.2,55
4.6,3.2
,
,
3.1,23
3.9,16
,
4.1,14
4.4,37
,
,
4.5,11
4.4,25
4.4,7.3
4.3,6.5
4.4,25
4.6,3.1
,
4.4,1.5
4.7,7.5
3.8,8.6
,
,
,
,
,
4.7,39
4.5,14
4.2,19
4.7,6.8
4.8,39
,
4.2,14
4.3,20
,
,
4.1,26
3.8,51
4.3,41
3.8,20
,
4.1,12
4.6,48
4.3,10
4.5,22
4.1,11
4.5,8.5
4.6,8.6
,
4.2,28
4.4,28
4.4,37
4,9
4.2,46
,
4.1,14
,
3.8,26
3.9,23
,
,
4.2,14
4.3,20
,
,
4.1,26
3.8,51
4.3,41
3.8,20
,
4.1,12
4.6,48
4.3,10
4.5,22
4.1,11
4.5,8.5
4.6,8.6
,
4.2,28
,
,
,
4.7,39
4.5,14
4.2,19
4.7,6.8
4.8,39
,
4.3,35
,
4.5,29
4.3,41
,
4.6,4.9
4.7,27
4.7,32
4.8,12
3.9,15
4.1,11
4.4,28
4.6,2.2
4.5,3.4
4.7,8.3
4.4,4.3
4.5,4.7
3.9,10
3.2,15
3.2,7.1
4.1,21
4.5,6.1
,
4.2,15
3.7,11
4.5,29
4.6,3.3
,
,
4.7,40
4.4,10
3.5,9.1
3.3,4.7
4.5,38
,
4.2,6.7
5,37
,
4.7,7.8
4.4,19
4.4,5.7
4.6,35
,
,
4.3,17
,
,
,
,
,
4.3,8.8
,
4.3,16
4.3,11
4.3,11
,
4.3,15
4,6.6
,
4.3,6.6
,
,
3.9,5.1
,
3.6,18
4.4,4
,
,
,
4.4,37
,
4.2,22
,
4.4,3.3
4.4,32
3.9,37
,
,
,
,
,
4.4,17
,
,
3.9,35
4.5,40
3.7,61
4.3,66
,
,
4.3,11
4,79
,
,
4.1,25
4.2,14
,
,
,
,
,
,
4.4,24
,
4.1,17
4.3,8.3
,
4.5,8.2
,
,
,
,
4.3,8.4
,
,
4.4,4
4.2,32
,
,
,
4.6,6.1
,
,
4.2,2.8
,
,
4.4,3.3
4.5,40
4.1,2.2
,
4.1,4.3
4.3,4.7
4.1,2.3
4.2,2.3
,
4.2,11
4.2,2.7
4.2,14
,
4.3,13
4.4,3.7
4.2,10
4.4,13
4.1,10
4.2,13
4.8,8.8
4.4,5.5
4.4,20
4.4,29
,
,
4.4,11
,
4.2,17
4.5,17
,
,
4,118
,
4.3,16
4.2,5.1
,
4.6,44
4.1,7.3
4,30
4.2,695
,
4.1,1.6
4.3,19
,
,
,
4.3,11
,
,
,
,
4.1,23
4.6,26
,
,
,
,
,
2.6,6.2
NaN,20
NaN,18
NaN,1.2
3.5,17
,
4.1,15
,
4.1,56
4.2,12
4.5,11
4.4,29
,
4,40
,
3.1,53
4.4,3.1
4.2,24
4.1,23
3.9,5
4.3,44
4.4,27
3.5,6.1
,
3.3,21
4.5,11
4.4,21
4.1,24
3.9,31
3.9,27
3.6,6.2
,
3.6,12
3.4,8
4.2,5.9
4.1,7.9
3.4,5
3,1.4
4.6,13
4.1,40
3.9,13
1.9,19
3.5,5
2.5,19
3.9,27
3.4,3
3.5,13
4.4,7.2
3.8,25
,
2.5,5.7
2.8,5.5
,
4.2,6.5
